children1,children2,children3,children4 (gene_ID)
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN1888.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN1965.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN2334.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN2440.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN2867.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN2875.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN2981.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN3169.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN3223.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN3641.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN3954.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN4591.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN4772.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN4913.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN5604.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN5907.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN6037.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN6113.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN6711.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN7588.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN7995.2
09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ani00030],AN8977.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN0423.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN0443.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN0741.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN0774.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN0942.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN2542.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN2666.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN2858.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN2859.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN2860.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN3030.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN3337.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN3390.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN3889.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN4336.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN4372.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN4829.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN5361.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN6035.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN6106.2
09100 Metabolism,09101 Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ani00040],AN6656.2
